X,Y,field_1,field_2,field_3,field_4,field_5,field_6,field_7,field_8
-48.493453226475673,-27.55566313837798,21552038,7897,10784020,747543,6949554.31,747537.6,6949565.62,
-48.500597782470663,-27.562338119340261,21552364,5263,2107904570,746822.34,6948828.8,746819.83,6948812.87,
-48.498481365547356,-27.561526203323236,21552372,17245,2107906507,747033.2,6948914.56,747025.12,6948920.02,
-48.498057693851813,-27.561551594056628,21552429,8670,2107906546,747074.99,6948910.9,747071.22,6948905.21,
-48.501164479623078,-27.563377742933085,21552445,14410,2107906197,746764.04,6948714.71,746775.43,6948709.83,
-48.499383261719345,-27.559694466177916,21552453,15981,2107930110,746948.22,6949119.37,746938.21,6949125.01,
-48.505215442007618,-27.555793545804153,21552470,19243,2107891392,746380.87,6949563.33,746382.1,6949578.49,
-48.511139909907222,-27.556911139452012,21552496,19944,2107891446,745793.18,6949451.25,745794.19,6949468.24,
-48.511371487751369,-27.555634751003712,21552518,8626,2107891408,745773.15,6949593.17,745764.02,6949578.21,
-48.511504097760977,-27.558126020580008,21552526,8685,2107891296,745754.5,6949317.33,745759.16,6949333.86,
-48.518006654590167,-27.563765178052812,21552623,16313,2107902054,745099.68,6948705.25,745094.08,6948717.01,
-48.513379914240993,-27.563729045892824,21552640,8258,2107896692,745556.74,6948700.08,745557.45,6948710.23,
-48.521077948798727,-27.520314321304816,21554294,15740,2107917958,744892.73,6953526.89,744892.18,6953537.82,
-48.526469818816345,-27.54125108739278,21554499,8717,2107908691,744313.64,6951217.17,744325.16,6951213.17,
-48.525524325587526,-27.533078598570693,21554600,8136,2107911781,744425.14,6952121.04,744433.23,6952114.21,
-48.523850492441227,-27.532969649365302,21554677,8136,2107920465,744590.75,6952129.81,744589.45,6952144.37,
-48.514833913523326,-27.538428205681686,21554790,10010,2107909747,745469.42,6951507.01,745466.42,6951515.52,
-48.50990286936262,-27.537036186783865,21554804,5245,2107897640,745959.67,6951651.5,745948.23,6951643.52,
-48.525558431064447,-27.524260442434088,21554839,18336,2107917799,744441.29,6953098.4,744433.64,6953104.96,
-48.548073396578388,-27.599147304732359,21577774,7370,2108061467,742052.29,6944843.16,742047.47,6944837.94,
-48.544989395609235,-27.589838904489813,21578568,18511,2108787232,742377.28,6945868.74,742381.04,6945886.24,
-48.544873328382089,-27.586735716418207,21578592,72262,2107979057,742395.57,6946212.43,742387.52,6946207.48,
-48.544873328382089,-27.586735716418207,21578630,72262,2107979057,742395.57,6946212.43,742387.52,6946207.48,
-48.544873328382089,-27.586735716418207,21578657,72262,2107979057,742395.57,6946212.43,742387.52,6946207.48,
-48.553262975648863,-27.589187120285423,21579734,15052,2108029716,741561.74,6945957.17,741558.73,6945968.49,
-48.553262975648863,-27.589187120285423,21579742,15052,2108029716,741561.74,6945957.17,741558.73,6945968.49,
-48.551478388837971,-27.588266147878951,21579777,71980,2108029830,741739.98,6946055.75,741752.57,6946053.97,
-48.549107229433993,-27.591212009928608,21580090,15458,2107978965,741967.65,6945724.63,741971.4,6945732.56,
-48.549107229433993,-27.591212009928608,21580104,15458,2107978965,741967.65,6945724.63,741971.4,6945732.56,
-48.549107229433993,-27.591212009928608,21580155,15458,2107978965,741967.65,6945724.63,741971.4,6945732.56,
-48.549107229433993,-27.591212009928608,21580180,15458,2107978965,741967.65,6945724.63,741971.4,6945732.56,
-48.549107229433993,-27.591212009928608,21580198,15458,2107978965,741967.65,6945724.63,741971.4,6945732.56,
-48.549107229433993,-27.591212009928608,21580201,15458,2107978965,741967.65,6945724.63,741971.4,6945732.56,
-48.549107229433993,-27.591212009928608,21580210,15458,2107978965,741967.65,6945724.63,741971.4,6945732.56,
-48.549107229433993,-27.591212009928608,21580228,15458,2107978965,741967.65,6945724.63,741971.4,6945732.56,
-48.549107229433993,-27.591212009928608,21580236,15458,2107978965,741967.65,6945724.63,741971.4,6945732.56,
-48.549107229433993,-27.591212009928608,21580252,15458,2107978965,741967.65,6945724.63,741971.4,6945732.56,
-48.549107229433993,-27.591212009928608,21580279,15458,2107978965,741967.65,6945724.63,741971.4,6945732.56,
